iter	Passed	Remaining
669	1103	872
670	1104	870
671	1105	868
672	1106	866
673	1108	864
674	1109	862
675	1110	860
676	1112	859
677	1113	857
678	1115	855
679	1117	854
680	1119	853
681	1121	851
682	1122	850
683	1124	848
684	1127	847
685	1128	845
686	1129	843
687	1131	841
688	1132	840
689	1134	838
690	1136	837
691	1138	835
692	1140	834
693	1141	832
694	1143	831
695	1145	829
696	1146	827
697	1147	825
698	1148	823
699	1149	821
700	1151	819
701	1153	817
702	1154	815
703	1155	813
704	1156	811
705	1157	809
706	1159	808
707	1161	806
708	1163	805
709	1165	804
710	1166	802
711	1167	800
712	1169	798
713	1171	797
714	1172	795
715	1174	793
716	1176	792
717	1178	790
718	1179	789
719	1180	787
720	1182	785
721	1184	784
722	1185	782
723	1187	780
724	1188	778
725	1189	776
726	1191	775
727	1192	773
728	1193	771
729	1195	769
730	1196	767
731	1197	765
732	1198	763
733	1199	761
734	1200	759
735	1202	757
736	1203	755
737	1204	753
738	1205	751
739	1206	750
740	1207	748
741	1209	746
742	1210	744
743	1211	742
744	1213	740
745	1214	739
746	1215	737
747	1217	735
748	1218	733
749	1219	731
750	1220	729
751	1223	728
752	1224	726
753	1226	725
754	1227	723
755	1228	721
756	1229	719
757	1230	717
758	1231	715
759	1233	713
760	1234	712
761	1235	710
762	1236	708
763	1238	706
764	1239	704
765	1240	702
766	1242	701
767	1243	699
768	1244	697
769	1246	695
770	1247	693
771	1248	692
772	1249	690
773	1250	688
774	1251	686
775	1253	684
776	1254	683
777	1255	681
778	1257	679
779	1258	677
780	1259	675
781	1260	673
782	1261	671
783	1262	670
784	1263	668
785	1264	666
786	1265	664
787	1267	662
788	1268	660
789	1269	658
790	1270	656
791	1271	655
792	1272	653
793	1274	651
794	1275	649
795	1276	647
796	1277	646
797	1278	644
798	1279	642
799	1282	641
800	1283	639
801	1284	637
802	1286	636
803	1288	634
804	1289	632
805	1291	631
806	1292	629
807	1293	627
808	1295	625
809	1296	624
810	1297	622
811	1299	621
812	1301	619
813	1303	618
814	1304	616
815	1306	614
816	1307	613
817	1309	611
818	1310	609
819	1311	607
820	1313	606
821	1314	604
822	1316	603
823	1318	601
824	1320	600
825	1322	598
826	1323	596
827	1325	595
828	1326	593
829	1327	591
830	1329	590
831	1330	588
832	1331	586
833	1334	585
834	1335	583
835	1336	582
836	1338	580
837	1339	578
838	1341	577
839	1342	575
840	1343	573
841	1345	571
842	1346	570
843	1347	568
844	1349	566
845	1351	565
846	1352	563
847	1353	561
848	1355	560
849	1356	558
850	1357	556
851	1359	555
852	1360	553
853	1361	551
854	1362	549
855	1365	548
856	1366	546
857	1367	545
858	1368	543
859	1370	541
860	1371	539
861	1372	538
862	1373	536
863	1375	534
864	1376	533
865	1378	531
866	1379	529
867	1380	527
868	1381	526
869	1382	524
870	1383	522
871	1385	521
872	1386	519
873	1387	517
874	1388	515
875	1389	514
876	1390	512
877	1392	510
878	1393	509
879	1395	507
880	1396	505
881	1398	504
882	1399	502
883	1401	500
884	1402	499
885	1403	497
886	1404	495
887	1405	493
888	1406	492
889	1408	490
890	1409	488
891	1411	487
892	1412	485
893	1414	484
894	1415	482
895	1417	480
896	1419	479
897	1420	477
898	1421	476
899	1423	474
900	1424	472
901	1426	471
902	1427	469
903	1428	467
904	1430	466
905	1432	464
906	1433	463
907	1436	462
908	1438	460
909	1440	459
910	1442	457
911	1444	456
912	1445	454
913	1448	453
914	1449	451
915	1452	450
916	1453	448
917	1456	447
918	1457	445
919	1458	443
920	1459	442
921	1461	440
922	1463	439
923	1464	437
924	1465	435
925	1466	434
926	1468	432
927	1469	430
928	1470	429
929	1472	427
930	1473	425
931	1474	424
932	1475	422
933	1477	420
934	1478	419
935	1480	417
936	1481	415
937	1483	414
938	1484	412
939	1485	411
940	1487	409
941	1488	407
942	1489	405
943	1490	404
944	1492	402
945	1493	400
946	1494	399
947	1495	397
948	1496	395
949	1498	394
950	1499	392
951	1500	390
952	1501	389
953	1503	387
954	1505	386
955	1506	384
956	1507	382
957	1508	381
958	1510	379
959	1511	377
960	1512	376
961	1514	374
962	1515	372
963	1516	371
964	1517	369
965	1519	368
966	1520	366
967	1522	364
968	1523	363
969	1524	361
970	1525	359
971	1527	358
972	1528	356
973	1529	354
974	1530	353
975	1531	351
976	1533	349
977	1535	348
978	1536	346
979	1537	345
980	1539	343
981	1540	342
982	1542	340
983	1543	338
984	1544	337
985	1546	335
986	1547	333
987	1548	332
988	1549	330
989	1551	329
990	1552	327
991	1554	325
992	1555	324
993	1556	322
994	1558	321
995	1560	319
996	1561	317
997	1563	316
998	1564	314
999	1565	313
1000	1567	311
1001	1568	309
1002	1569	308
1003	1570	306
1004	1571	305
1005	1573	303
1006	1574	301
1007	1576	300
1008	1578	298
1009	1579	297
1010	1580	295
1011	1581	293
1012	1583	292
1013	1584	290
1014	1585	289
1015	1587	287
1016	1588	285
1017	1589	284
1018	1591	282
1019	1593	281
1020	1595	279
1021	1596	278
1022	1598	276
1023	1600	275
1024	1601	273
1025	1603	271
1026	1604	270
1027	1605	268
1028	1607	267
1029	1609	265
1030	1610	264
1031	1612	262
1032	1613	260
1033	1614	259
1034	1616	257
1035	1618	256
1036	1619	254
1037	1620	252
1038	1622	251
1039	1624	249
1040	1625	248
1041	1626	246
1042	1627	245
1043	1629	243
1044	1630	241
1045	1632	240
1046	1633	238
1047	1634	237
1048	1635	235
1049	1637	233
1050	1639	232
1051	1640	230
1052	1641	229
1053	1642	227
1054	1644	225
1055	1645	224
1056	1646	222
1057	1648	221
1058	1649	219
1059	1650	218
1060	1651	216
1061	1652	214
1062	1654	213
1063	1656	211
1064	1657	210
1065	1658	208
1066	1659	206
1067	1661	205
1068	1662	203
1069	1663	202
1070	1664	200
1071	1665	198
1072	1667	197
1073	1669	195
1074	1670	194
1075	1671	192
1076	1672	191
1077	1674	189
1078	1675	187
1079	1676	186
1080	1677	184
1081	1678	183
1082	1680	181
1083	1681	179
1084	1683	178
1085	1684	176
1086	1685	175
1087	1687	173
1088	1689	172
1089	1690	170
1090	1691	169
1091	1692	167
1092	1694	165
1093	1695	164
1094	1696	162
1095	1698	161
1096	1699	159
1097	1700	157
1098	1701	156
1099	1703	154
1100	1704	153
1101	1706	151
1102	1707	150
1103	1710	148
1104	1712	147
1105	1713	145
1106	1714	144
1107	1716	142
1108	1717	140
1109	1718	139
1110	1720	137
1111	1722	136
1112	1723	134
1113	1725	133
1114	1727	131
1115	1729	130
1116	1730	128
1117	1732	127
1118	1733	125
1119	1734	123
1120	1736	122
1121	1738	120
1122	1739	119
1123	1740	117
1124	1741	116
1125	1743	114
1126	1744	112
1127	1745	111
1128	1747	109
1129	1748	108
1130	1749	106
1131	1751	105
1132	1752	103
1133	1753	102
1134	1755	100
1135	1756	98
1136	1758	97
1137	1759	95
1138	1761	94
1139	1762	92
1140	1763	91
1141	1765	89
1142	1766	88
1143	1767	86
1144	1768	84
1145	1770	83
1146	1772	81
1147	1773	80
1148	1774	78
1149	1776	77
1150	1777	75
1151	1778	74
1152	1779	72
1153	1781	71
1154	1783	69
1155	1784	67
1156	1785	66
1157	1787	64
1158	1789	63
1159	1790	61
1160	1791	60
1161	1793	58
1162	1794	57
1163	1795	55
1164	1797	53
1165	1798	52
1166	1799	50
1167	1801	49
1168	1802	47
1169	1803	46
1170	1804	44
1171	1806	43
1172	1807	41
1173	1809	40
1174	1810	38
1175	1812	36
1176	1814	35
1177	1815	33
1178	1817	32
1179	1819	30
1180	1821	29
1181	1822	27
1182	1824	26
1183	1825	24
1184	1827	23
1185	1829	21
1186	1830	20
1187	1831	18
1188	1833	16
1189	1834	15
1190	1836	13
1191	1837	12
1192	1838	10
1193	1840	9
1194	1841	7
1195	1842	6
1196	1843	4
1197	1845	3
1198	1846	1
1199	1847	0
