iter	MAPE
136	0.3210712562
137	0.3211219374
138	0.3090468509
139	0.3086314435
140	0.3078768778
141	0.3072661687
142	0.3067359982
143	0.3061350371
144	0.3059406965
145	0.3055912271
146	0.3055883763
147	0.3054603498
148	0.3052595201
149	0.3051387731
150	0.2996304699
151	0.2993952986
152	0.2991872956
153	0.298702138
154	0.2986070732
155	0.298444414
156	0.2983463475
157	0.2982237967
158	0.2982184134
159	0.2962972947
160	0.2956157091
161	0.2950929121
162	0.2950337857
163	0.2948509977
164	0.2947298352
165	0.2937304756
166	0.2934061468
167	0.2931889099
168	0.2927531838
169	0.292322647
170	0.2920020649
171	0.2919113224
172	0.2916736533
173	0.291305789
174	0.2912474027
175	0.2909505651
176	0.2905124231
177	0.2903951736
178	0.2901355745
179	0.2898785952
180	0.2897779144
181	0.2896388947
182	0.2889603398
183	0.2888644907
184	0.2887099268
185	0.2886827123
186	0.2884864665
187	0.2882711943
188	0.2881669515
189	0.2880398018
190	0.2879117318
191	0.2878486539
192	0.2877153702
193	0.2874099523
194	0.2872884234
195	0.2872420847
196	0.2871987314
197	0.2871444072
198	0.2869654759
199	0.2865759712
200	0.2863526519
201	0.286184162
202	0.2859601186
203	0.2858964677
204	0.2858739254
205	0.2856874637
206	0.2856721293
207	0.2856583443
208	0.2853141519
209	0.2851719159
210	0.2816055141
211	0.2812322193
212	0.2812300866
213	0.2812079055
214	0.2811071496
215	0.280982014
216	0.280717486
217	0.2805238083
218	0.2804039232
219	0.280240097
220	0.2800004003
221	0.2799105364
222	0.2797837165
223	0.2795508552
224	0.2780045006
225	0.2777422214
226	0.2770643479
227	0.2757217064
228	0.275586446
229	0.2747063789
230	0.2745392822
231	0.2745134168
232	0.2745115705
233	0.2744265113
234	0.2740472413
235	0.2716981173
236	0.2716152338
237	0.2715871747
238	0.2700708797
239	0.2699606629
240	0.2698363173
241	0.2698046348
242	0.2697442799
243	0.2697399846
244	0.2697351519
245	0.2696723887
246	0.269556695
247	0.2695130927
248	0.2692822114
249	0.2692261632
250	0.2691803026
251	0.2691684272
252	0.2691430184
253	0.2691351531
254	0.2691119302
255	0.2689753062
256	0.2682135563
257	0.2680928227
258	0.2680694196
259	0.2680531329
260	0.2680193827
261	0.2680005382
262	0.2679343927
263	0.267931472
264	0.2678992229
265	0.2677709603
266	0.2677545889
267	0.2677450806
268	0.2676931402
269	0.2674454804
270	0.2674387661
271	0.267436781
272	0.2671827045
273	0.2671628565
274	0.2671460048
275	0.2671350189
276	0.2670437163
277	0.2669492779
278	0.2668669219
279	0.2668622879
280	0.2668507147
281	0.266849305
282	0.2667916401
283	0.2667245909
284	0.2666643546
285	0.2665878242
286	0.2656353901
287	0.2655487611
288	0.2655069805
289	0.2653802177
290	0.264942195
291	0.2649293716
292	0.2648984852
293	0.2646679076
294	0.2644919035
295	0.2644888935
296	0.263373776
297	0.2633470277
298	0.263342549
299	0.2633259082
300	0.2632667325
301	0.2630616929
302	0.2629793155
303	0.2629617011
304	0.2628993833
305	0.2628821469
306	0.2628504105
307	0.2626501321
308	0.2626303194
309	0.2625046587
310	0.2624378743
311	0.2623502197
312	0.2622742959
313	0.2622714434
314	0.2622366826
315	0.2622123873
316	0.2620333597
317	0.2620272471
318	0.2620157787
319	0.2620009405
320	0.261877721
321	0.2618100174
322	0.2617563525
323	0.2617491808
324	0.2613759604
325	0.2612208455
326	0.2612109592
327	0.2610505229
328	0.2609167739
329	0.2603474195
330	0.2603105901
331	0.2602406207
332	0.2602385507
333	0.2597662345
334	0.2597270184
335	0.259641063
336	0.2596317318
337	0.2596197826
338	0.2596018558
339	0.2595769875
340	0.2595651249
341	0.2595625964
342	0.2595606403
343	0.2595575324
344	0.2594293774
345	0.2594287339
346	0.2593704842
347	0.2583341099
348	0.2581840012
349	0.2581450265
350	0.2581431663
351	0.2581416189
352	0.2581391964
353	0.2579224463
354	0.257921762
355	0.2577558105
356	0.25770766
357	0.257700913
358	0.2574064796
359	0.2573742395
360	0.2573728071
361	0.2573727221
362	0.2571890243
363	0.2571883058
364	0.2571883058
365	0.2571169606
366	0.2571154845
367	0.2569836189
368	0.2569742981
369	0.2569243054
370	0.2567335953
371	0.2567335953
372	0.2567179201
373	0.2566013936
374	0.2565960892
375	0.2565635102
376	0.2565337029
377	0.2565337029
378	0.2565336488
379	0.256521751
380	0.2564903598
381	0.2564901717
382	0.2564829181
383	0.2564471687
384	0.2563829493
385	0.2563829446
386	0.2563427853
387	0.2563270216
388	0.2562108923
389	0.2556842484
390	0.2555791945
391	0.2555787804
392	0.2555606158
393	0.2555121237
394	0.2554981269
395	0.2554904739
396	0.2554871228
397	0.2554866069
398	0.2554806222
399	0.2553979004
400	0.2553978985
401	0.2553739773
402	0.2553716337
403	0.2553389705
404	0.255338969
405	0.2553374225
406	0.2553115176
407	0.2553069598
408	0.2552893141
409	0.2552813728
410	0.2552685894
411	0.2552056717
412	0.2552023826
413	0.2551545283
414	0.2550462
415	0.2550441219
416	0.2550445724
417	0.2550281393
418	0.2549246791
419	0.2547925473
420	0.2546875216
421	0.2546160417
422	0.2546009703
423	0.2545991755
424	0.2545982005
425	0.2544961086
426	0.2544944587
427	0.25446472
428	0.2544706877
429	0.2543873153
430	0.2543672877
431	0.2542881521
432	0.2542582793
433	0.2542517606
434	0.2542517075
435	0.2541770937
436	0.2541764074
437	0.2541356791
438	0.2541310351
439	0.254130903
440	0.2541308239
441	0.2540982383
442	0.2540686038
443	0.254068591
444	0.2540680237
445	0.2537702607
446	0.2537698764
447	0.253768432
448	0.2535543732
449	0.2527237956
450	0.2527176766
451	0.2527003466
452	0.2526995951
453	0.2526989901
454	0.2526984847
455	0.2527003833
456	0.2526743562
457	0.2526614265
458	0.2526558665
459	0.2525889994
460	0.2525838844
461	0.2525403309
462	0.2525095678
463	0.2524778655
464	0.2524733794
465	0.2523481795
466	0.2523271886
467	0.2523213665
468	0.252313592
469	0.2522766445
470	0.2522756333
471	0.2522590619
472	0.2522566729
473	0.2522566341
474	0.2522538111
475	0.2522076117
476	0.2521992898
477	0.2521983743
478	0.2521769255
479	0.2521466995
480	0.252146654
481	0.2521372848
482	0.2521371609
483	0.2521370962
484	0.2520445763
485	0.2520435458
486	0.252008765
487	0.2519166975
488	0.2518030116
489	0.2518030115
490	0.2517899101
491	0.251789326
492	0.2517893036
493	0.251747238
494	0.2517457895
495	0.2517025796
496	0.2517015036
497	0.2517070522
498	0.2516378982
499	0.2515324449
500	0.2515166287
501	0.2514937706
502	0.2514934125
503	0.2514598336
504	0.2514486882
505	0.2514483907
506	0.2514477652
507	0.2513129582
508	0.2513100877
509	0.2512819677
510	0.2512698423
511	0.2509330506
512	0.250932213
513	0.2508792517
514	0.2508784353
515	0.2508360408
516	0.2507973607
517	0.2507967084
518	0.250796269
519	0.2507663376
520	0.2505923714
521	0.2505697268
522	0.250515871
523	0.2498328849
524	0.2497936777
525	0.2497527085
526	0.2496715343
527	0.2496509848
528	0.2496465758
529	0.2495575275
530	0.2495556771
531	0.2494496033
532	0.2494495531
533	0.249444522
534	0.2494353126
535	0.2493978751
536	0.2493897699
537	0.2493895838
538	0.2493888534
539	0.2493898944
540	0.2493365728
541	0.2491292226
542	0.2491290935
543	0.2489652477
544	0.2489650192
545	0.2489547902
546	0.2488982088
547	0.2488982088
548	0.2487275725
549	0.2487144471
550	0.2486591123
551	0.2486591119
552	0.2486281683
553	0.2486175768
554	0.2486169186
555	0.2485830011
556	0.2485823218
557	0.2485695746
558	0.2484555881
559	0.2483973161
560	0.2483445665
561	0.2483432479
562	0.248340202
563	0.2473850404
564	0.2473842602
565	0.2473720578
566	0.2473644472
567	0.2473627418
568	0.247359847
569	0.2473597953
570	0.2472993267
571	0.2472731252
572	0.2471427662
573	0.2471412548
574	0.2470818858
575	0.2469995382
576	0.2469995249
577	0.2469909127
578	0.2469477483
579	0.2469328947
580	0.2468426589
581	0.2468426574
582	0.2468280598
583	0.2467599327
584	0.246759861
585	0.2467597494
586	0.2467559916
587	0.2467315859
588	0.2466969003
589	0.2466967607
590	0.2465121805
591	0.2465121504
592	0.2465108886
593	0.2465090274
594	0.2463994714
595	0.2461291447
596	0.246067404
597	0.2460670462
598	0.2459413297
599	0.2459391163
600	0.2458600633
601	0.245859999
602	0.2458345225
603	0.2458163158
604	0.245810764
605	0.2458108115
606	0.2458105125
607	0.2457867367
608	0.2457854947
609	0.2457655079
610	0.2457648818
611	0.2457320195
612	0.2457069856
613	0.2456807544
614	0.2456802132
615	0.2456463525
616	0.245646275
617	0.2456463322
618	0.245629306
619	0.2456288431
620	0.2455707434
621	0.2454660094
622	0.2454444241
623	0.2454181681
624	0.2453898439
625	0.2453613679
626	0.2453277247
627	0.2453132111
628	0.2452586359
629	0.2452278072
630	0.2452262517
631	0.2452262513
632	0.2452093664
633	0.2450489394
634	0.2449557574
635	0.2449557559
636	0.2448647555
637	0.2448643479
638	0.2448343346
639	0.2448338903
640	0.2448343237
641	0.244778343
642	0.2447003666
643	0.2447000947
644	0.2446993542
645	0.2446993391
646	0.2446684675
647	0.2446577979
648	0.2446464577
649	0.2446464545
650	0.2446456225
651	0.2445910382
652	0.2445910382
653	0.2445908916
654	0.2445908843
655	0.2445908843
656	0.2445902119
657	0.2445900619
658	0.2445868958
659	0.2445868955
660	0.2444836669
661	0.2443494463
662	0.2443512108
663	0.2443434976
664	0.2442782482
665	0.2442341695
666	0.2442341692
667	0.2442341683
668	0.244209795
669	0.2442097853
670	0.2442096274
671	0.2441906321
672	0.2441900695
673	0.2441867365
674	0.2441865493
675	0.2441860975
676	0.2441795093
677	0.2441795086
678	0.2441595373
679	0.2441206024
680	0.2441200152
681	0.2441029391
682	0.244058055
683	0.2440579521
684	0.2439445136
685	0.2438416334
686	0.2438427947
687	0.2438359833
688	0.2438355587
689	0.2438355581
690	0.2438173896
691	0.2438154584
692	0.2438019018
693	0.2438017974
694	0.2437876808
695	0.2437931634
696	0.2437931631
697	0.2437929962
698	0.2437903232
699	0.243757348
700	0.2437573227
701	0.2437571142
702	0.2437501767
703	0.2437500883
704	0.243746136
705	0.2437460093
706	0.2437435416
707	0.2430587192
708	0.2430585906
709	0.243058289
710	0.2430581037
711	0.243039375
712	0.2430382522
713	0.243021311
714	0.2430212556
715	0.2429944329
716	0.2429890112
717	0.2429828041
718	0.2429824635
719	0.2429824628
720	0.2429717475
721	0.2429713401
722	0.2429709599
723	0.2429709489
724	0.2428881665
725	0.2428881665
726	0.2428880464
727	0.2428712406
728	0.2428024834
729	0.2427974955
730	0.2427893591
731	0.2427032524
732	0.2427032409
733	0.2427032408
734	0.2427031751
735	0.242703175
736	0.2425118198
737	0.2424924237
738	0.2424861347
739	0.2424036744
740	0.2423213673
741	0.2423040171
742	0.2423036959
743	0.2423036865
744	0.2422996647
745	0.2422995889
746	0.2418077595
747	0.2418084973
748	0.2416825645
749	0.2415700777
750	0.241569383
751	0.2415693734
752	0.241454849
753	0.2414495783
754	0.2414053982
755	0.2413872814
756	0.2413835253
757	0.2413834567
758	0.2413834561
759	0.2413760851
760	0.2413757514
761	0.241372944
762	0.2413728445
763	0.241369324
764	0.2413692373
765	0.2413686733
766	0.2413676939
767	0.2410857631
768	0.2410857095
769	0.2409188153
770	0.2409188021
771	0.2409187318
772	0.2408836374
773	0.2407647399
774	0.2406411747
775	0.2405458187
776	0.2405458058
777	0.2405420103
778	0.2405419546
779	0.2405419309
780	0.2404901237
781	0.2404683461
782	0.2404683063
783	0.2404682656
784	0.2404637772
785	0.2404422966
786	0.240442282
787	0.2403325546
788	0.2400460935
789	0.2400455741
790	0.240043472
791	0.2398222031
792	0.2398304593
793	0.2397456789
794	0.2397199919
795	0.2397199861
796	0.2396862881
797	0.2396861032
798	0.239579761
799	0.2394379995
800	0.239358529
801	0.2393063533
802	0.2393063199
803	0.2392930178
804	0.2392444221
805	0.2392443534
806	0.2392327858
807	0.2392277106
808	0.2391979797
809	0.2391969887
810	0.2391959051
811	0.239171972
812	0.2390652629
813	0.2390098524
814	0.2389084867
815	0.2388743323
816	0.2388013745
817	0.2387827381
818	0.2387831709
819	0.2386865735
820	0.2386485392
821	0.2386105097
822	0.2386082336
823	0.2385970192
824	0.2385333428
825	0.2385227933
826	0.2384827954
827	0.2383665467
828	0.2383660646
829	0.2383522642
830	0.2381404286
831	0.2381346925
832	0.2381344587
833	0.2381310862
834	0.238130859
835	0.238130849
836	0.2381308251
837	0.2380555561
838	0.2380421607
839	0.2379687022
840	0.2379484655
841	0.2379482927
842	0.2379481774
843	0.2379440362
844	0.2378948989
845	0.2377922923
846	0.2376814575
847	0.2375592745
848	0.2375542309
849	0.2375125432
850	0.2375125023
851	0.2375113341
852	0.2375113315
853	0.2374897542
854	0.2372880005
855	0.2372879959
856	0.2366229186
857	0.2366228835
858	0.2365694972
859	0.2365311569
860	0.2365311354
861	0.2365211675
862	0.2365211602
863	0.2365211583
864	0.2365211536
865	0.2365196634
866	0.236509886
867	0.2364950114
868	0.2364948247
869	0.2364877804
870	0.2364875719
871	0.2363799474
872	0.2363647031
873	0.2363608473
874	0.2363493117
875	0.2363490437
876	0.2363483547
877	0.2363482053
878	0.2363433594
879	0.2362625452
880	0.2362258906
881	0.236084068
882	0.2360840687
883	0.2360412062
884	0.2360281208
885	0.2360119969
886	0.2344998221
887	0.2344998108
888	0.2344054589
889	0.2343009809
890	0.234300975
891	0.2342325412
892	0.2342264555
893	0.2342264548
894	0.234225339
895	0.2342250286
896	0.2342232054
897	0.2342115285
898	0.2341982402
899	0.2339772031
900	0.2339746461
901	0.233974628
902	0.2339746276
903	0.233941392
904	0.2339201637
905	0.2339201438
906	0.2339189683
907	0.2338983542
908	0.2338983542
909	0.2338977035
910	0.2338824791
911	0.2338676071
912	0.2338668478
913	0.2332157953
914	0.2332156965
915	0.2332032673
916	0.2332024577
917	0.2331854987
918	0.233184313
919	0.233181934
920	0.2331716784
921	0.2331710842
922	0.2331642789
923	0.2331525698
924	0.2331020994
925	0.2331020994
926	0.2331020872
927	0.2331020867
928	0.2330979941
929	0.2330911588
930	0.2330716977
931	0.2330715342
932	0.233058331
933	0.2330583205
934	0.2330583204
935	0.2330583198
936	0.2330573656
937	0.2330573656
938	0.2330510715
939	0.2330510708
940	0.2330341419
941	0.2329601397
942	0.2329353951
943	0.2328964959
944	0.2328911449
945	0.232884408
946	0.2328844077
947	0.2328709339
948	0.2328542087
949	0.2328506155
950	0.2328504933
951	0.2328193584
952	0.2327790312
953	0.2326802619
954	0.2326802608
955	0.2326802606
956	0.2326798825
957	0.2326695913
958	0.232644219
959	0.2326425793
960	0.2326369716
961	0.2319762134
962	0.23193345
963	0.2319262226
964	0.2319223165
965	0.2319222422
966	0.2318851632
967	0.2318693467
968	0.2318692152
969	0.2318692152
970	0.2318144737
971	0.2317619729
972	0.2317144781
973	0.2317139893
974	0.2316984322
975	0.2316977795
976	0.2316022413
977	0.2316006401
978	0.2315809238
979	0.2315809214
980	0.2315722976
981	0.2315727592
982	0.2315580383
983	0.2315143648
984	0.231499452
985	0.2314994504
986	0.2314765408
987	0.2314765407
988	0.2314097275
989	0.2314099236
990	0.2313886994
991	0.2312587967
992	0.2312557409
993	0.2312559256
994	0.231252252
995	0.2312467031
996	0.2312038418
997	0.2311840808
998	0.2311840807
999	0.2310797041
1000	0.231079656
1001	0.2310796553
1002	0.2310796523
1003	0.2310796523
1004	0.2310779891
1005	0.2310779891
1006	0.2310662228
1007	0.2310621932
1008	0.2310621932
1009	0.2310590639
1010	0.2310590639
1011	0.2310278463
1012	0.231027436
1013	0.2310274361
1014	0.2310274361
1015	0.2310260754
1016	0.2310260754
1017	0.2310056886
1018	0.2309888923
1019	0.2309411252
1020	0.2309411252
1021	0.230918503
1022	0.230894803
1023	0.2308946242
1024	0.2308252159
1025	0.2308252148
1026	0.2307378594
1027	0.2307377555
1028	0.230728567
1029	0.2307283649
1030	0.2307283649
1031	0.2307283649
1032	0.2307240808
1033	0.2306549131
1034	0.2306549125
1035	0.2306510121
1036	0.2306492432
1037	0.2306489864
1038	0.2306489857
1039	0.2306378028
1040	0.2306375822
1041	0.2306299635
1042	0.2306299635
1043	0.2306299635
1044	0.2305691996
1045	0.2305690997
1046	0.2305686171
1047	0.2305424065
1048	0.2305315444
1049	0.2304998838
1050	0.2302715897
1051	0.2300993873
1052	0.2300894718
1053	0.2300733074
1054	0.2300694233
1055	0.23005497
1056	0.2299933795
1057	0.2299657061
1058	0.2299657061
1059	0.2299551842
1060	0.2299368034
1061	0.2299368034
1062	0.2299367883
1063	0.229936214
1064	0.2299362139
1065	0.2299264261
1066	0.2298950483
1067	0.2298747284
1068	0.2298667457
1069	0.229866645
1070	0.229866645
1071	0.2298666448
1072	0.2298666423
1073	0.2298479482
1074	0.229831038
1075	0.2298305403
1076	0.2298291255
1077	0.2298289654
1078	0.2298288857
1079	0.2298288639
1080	0.2298219847
1081	0.2298102783
1082	0.2298102757
1083	0.2298040315
1084	0.2297907101
1085	0.2297907101
1086	0.2297902201
1087	0.2297901275
1088	0.2297901271
1089	0.2297901192
1090	0.2297895783
1091	0.22978908
1092	0.2297889481
1093	0.2297626616
1094	0.2297626533
1095	0.2297282967
1096	0.2297282968
1097	0.2296441293
1098	0.2296444157
1099	0.2296389781
1100	0.229638904
1101	0.2296254422
1102	0.2296254422
1103	0.2296245366
1104	0.2295935062
1105	0.2295943327
1106	0.2294560958
1107	0.229456094
1108	0.2294560939
1109	0.2294525906
1110	0.2294519817
1111	0.2294111008
1112	0.229319112
1113	0.2293190848
1114	0.2293134498
1115	0.2293134469
1116	0.2293012447
1117	0.2293012446
1118	0.2292908522
1119	0.2292907738
1120	0.2292892759
1121	0.229280106
1122	0.229276118
1123	0.229099675
1124	0.2290807684
1125	0.2290807684
1126	0.2290665167
1127	0.2290565662
1128	0.2290535221
1129	0.2289792313
1130	0.2289791584
1131	0.2289706043
1132	0.2289503123
1133	0.2289365323
1134	0.2288956964
1135	0.2288928958
1136	0.2288926684
1137	0.228884555
1138	0.228884555
1139	0.2273018546
1140	0.2273018205
1141	0.2272532778
1142	0.2272530224
1143	0.2272066607
1144	0.2271330634
1145	0.2271329957
1146	0.2271329956
1147	0.2270446338
1148	0.2270436049
1149	0.2270436049
1150	0.2270369049
1151	0.2270328346
1152	0.2270254132
1153	0.2270254117
1154	0.2270254117
1155	0.2270254117
1156	0.2270254116
1157	0.2270253051
1158	0.2270253051
1159	0.2269619306
1160	0.2269619263
1161	0.2269334749
1162	0.2269276898
1163	0.2269276898
1164	0.2269249608
1165	0.2269003825
1166	0.2269003825
1167	0.2269003825
1168	0.2269003808
1169	0.2269002362
1170	0.226735949
1171	0.2267397274
1172	0.2267397273
1173	0.2266252672
1174	0.2266252481
1175	0.2266213912
1176	0.2266032134
1177	0.2266034903
1178	0.2262871089
1179	0.2262498631
1180	0.2262293187
1181	0.2261128014
1182	0.2261020565
1183	0.2260998884
1184	0.2260998751
1185	0.2258863426
1186	0.2258258252
1187	0.2257881413
1188	0.224328731
1189	0.2243195684
1190	0.2243195684
1191	0.2243189601
1192	0.2243185383
1193	0.2243185383
1194	0.2243078262
1195	0.2243019116
1196	0.2243019108
1197	0.2242626316
1198	0.2234338159
1199	0.2234338159
