cian_id,price_rub,rooms_count,total_area,kitchen_area,floor_number,floors_total,is_newbuilding,photos_count,district,metro_name,metro_minutes,address_full,lat,lon,jk_name,decoration,building_material,luxury_description,luxury_photo,luxury_reason
326942725,34962486,2.0,58.3,,17,24,True,3,Нагатинский затон,Технопарк,5.0,"Москва, ЮАО, район Нагатинский затон, проспект Андропова, 9/1к1",55.691262,37.667429,Dream Towers,without,monolithBrick,50,57,
328478317,30000000,2.0,58.0,9.0,4,7,False,3,Беговой,Динамо,,"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 33К4",55.787255,37.559936,,,brick,50,55,
327542698,25564362,2.0,51.28,,31,52,True,3,Можайский,Давыдково,,"Москва, ЗАО, р-н Можайский, м. Давыдково, Верейская улица, 29с32Д",55.7085620723885,37.4350017460307,СЕТ,without,monolith,50,53,
327490513,20761104,,34.3,5.0,4,27,True,3,Южнопортовый,Дубровка,12.0,"Москва, ЮВАО, район Южнопортовый, Новоостаповская улица, 6АС1",55.720137370467306,37.66733648940813,Симоновский Вал,without,,50,56,
328904518,200283072,2.0,70.4,26.3,2,8,True,3,Хамовники,Парк Культуры,11.0,"Москва, ЦАО, район Хамовники, Большой Левшинский переулок",55.74141019821372,37.586046898147465,"Клубные резиденции Лёвшинский, 19",without,monolith,50,57,
326584153,49990000,3.0,74.0,,7,20,True,3,Замоскворечье,Павелецкая,8.0,"Москва, ЦАО, район Замоскворечье, Летниковская улица, 6к2",55.7264973787974,37.6439967767892,Воксхолл,without,monolithBrick,50,64,
320335475,99854710,2.0,91.1,,3,11,True,3,Даниловский,Павелецкая,,"Москва, ЮАО, р-н Даниловский, м. Павелецкая, Дербеневская набережная, 27с24",55.7253323113978,37.6542770089447,"Клубный дом ""ОПУС""",without,monolithBrick,50,35,
329133131,49900000,2.0,65.0,13.0,5,7,False,3,Замоскворечье,Серпуховская,,"Москва, ЦАО, р-н Замоскворечье, м. Серпуховская, Большая Серпуховская улица, 38С2",55.723729,37.626115,,,brick,50,63,
318815971,41800000,3.0,94.0,19.9,3,51,True,3,Пресненский,Шелепиха,,"Москва, ЦАО, р-н Пресненский, м. Шелепиха, Шмитовский проезд, 39к6",55.754772,37.525802,Headliner,,monolithBrick,50,57,
323466911,72508636,3.0,81.4,,16,41,True,3,Хорошевский,Аэропорт,,"Москва, САО, р-н Хорошевский, м. Аэропорт, Ленинградский проспект, 37/7",55.793698,37.543183,Прайм Парк,,,50,59,
323316209,77803023,3.0,90.1,,9,41,True,3,Хорошевский,Аэропорт,,"Москва, САО, р-н Хорошевский, м. Аэропорт, Ленинградский проспект, 37/7",55.793698,37.543183,Прайм Парк,,,50,60,
328056123,145000000,5.0,197.0,25.0,14,19,True,3,Раменки,Университет,3.0,"Москва, ЗАО, район Раменки, Ломоносовский проспект, 25к1",55.693591,37.532439,Dominion,,monolith,50,44,
328483937,80000000,2.0,86.0,10.0,53,68,True,3,Пресненский,Москва-Сити,4.0,"Москва, ЦАО, район Пресненский, 1-й Красногвардейский проезд, 22с2",55.751584,37.535332,NEVA TOWERS,,monolith,50,39,
327696585,44000000,3.0,68.0,27.0,43,52,True,3,Пресненский,Шелепиха,5.0,"Москва, ЦАО, район Пресненский, Шмитовский проезд, 39к6",55.754772,37.525802,Headliner,,,50,54,
325024294,135000000,4.0,138.0,13.4,7,9,True,3,Пресненский,Пушкинская,10.0,"Москва, ЦАО, район Пресненский, Малая Бронная улица, 25",55.763123,37.594261,,,brick,50,48,
323517054,37364640,3.0,64.6,,2,37,True,3,Даниловский,Павелецкая,,"Москва, ЮАО, р-н Даниловский, м. Павелецкая, проезд Жуков, вл8",55.7216224439834,37.6442975012919,Эра,without,monolith,50,64,
322779225,44291250,2.0,46.5,,2,18,True,3,Донской,Ленинский проспект,,"Москва, ЮАО, р-н Донской, м. Ленинский проспект, Шифт ЖК",55.7107200088325,37.5918533961542,SHIFT,without,monolith,50,51,
326398483,60664500,2.0,54.9,10.0,3,78,True,3,Пресненский,Москва-Сити,,"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, 1-й Красногвардейский проезд, 22с2",55.751584,37.535305,NEVA TOWERS,fine,monolith,50,65,
322355409,17010771,2.0,37.9,11.7,29,30,True,3,Рязанский,Окская,10.0,"Москва, ЮВАО, район Рязанский, Рязанский проспект",55.71958333903478,37.77298852558771,баланс,without,monolithBrick,50,36,
329364999,70000000,3.0,106.0,12.0,11,24,True,3,Очаково-Матвеевское,Матвеевская,,"Москва, ЗАО, р-н Очаково-Матвеевское, м. Матвеевская, Староволынская улица, 12к5",55.715479,37.479034,Волынский,,monolithBrick,50,47,
